source_level,source_subtype,source_official,source_gad_status,mimu_pcode,parent_pcode,coremap_id,candidate_coremap_ids,current_name,target_name_en,target_name_my,current_parent_id,current_parent_name,target_parent_id,target_parent_name,match_method,geometry_overlap_evidence,proposed_geometry_source,proposed_action,confidence_score,review_reason,core_geom_md5_before
district,district,True,Active,MMR005D010,MMR005,,,,Kanbalu,ကန့်ဘလူခရိုင်,,,6703,စစ်ကိုင်းတိုင်းဒေသကြီး,no_legal_geometry_found,not_available,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
district,district,True,Active,MMR005D011,MMR005,,,,Kawlin,ကောလင်းခရိုင်,,,6703,စစ်ကိုင်းတိုင်းဒေသကြီး,no_legal_geometry_found,not_available,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
self_administered_zone,self_administered_zone,True,Active,MMR005S001,MMR005,,,,Naga Self-Administered Zone,နာဂကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,,,6703,စစ်ကိုင်းတိုင်းဒေသကြီး,no_legal_geometry_found,not_available,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
district,district,True,Active,MMR008D001,MMR111,,,,Pyay,ပြည်ခရိုင်,,,7169,ပဲခူးတိုင်းဒေသကြီး,no_legal_geometry_found,not_available,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
self_administered_zone,self_administered_zone,True,Active,MMR014S001,MMR222,,,,Danu Self-Administered Zone,ဓနု ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,,,6329,ရှမ်းပြည်နယ်,no_legal_geometry_found,not_available,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
self_administered_zone,self_administered_zone,True,Active,MMR014S002,MMR222,,,,Pa-O Self-Administered Zone,ပအိုဝ်း ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,,,6329,ရှမ်းပြည်နယ်,no_legal_geometry_found,not_available,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
self_administered_zone,self_administered_zone,True,Active,MMR015S001,MMR222,,,,Pa Laung Self-Administered Zone,ပလောင် ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,,,6329,ရှမ်းပြည်နယ်,no_legal_geometry_found,not_available,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
self_administered_zone,self_administered_zone,True,Active,MMR015S002,MMR222,,,,Kokang Self-Administered Zone,ကိုးကန့် ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,,,6329,ရှမ်းပြည်နယ်,no_legal_geometry_found,not_available,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
self_administered_zone,self_administered_division,True,Active,MMR015S501,MMR222,,,,Wa Self-Administered Division,ဝ ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရတိုင်း,,,6329,ရှမ်းပြည်နယ်,no_legal_geometry_found,not_available,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
township,township,True,Active,MMR006009,MMR006D003,,,,Kawthoung,ကော့သောင်း,,,7438,ကော့သောင်းခရိုင်,fuzzy_review_only,not_available,preserve_core,manual_review,95,Fuzzy-name candidates are review-only: 7444:ကော့သောင်မြို့နယ်:0.947; 7444:ကော့သောင်မြို့နယ်:0.947; 7444:ကော့သောင်မြို့နယ်:0.947,
township,township,True,Active,MMR006010,MMR006D003,,,,Bokpyin,ဘုတ်ပြင်း,,,7438,ကော့သောင်းခရိုင်,no_legal_geometry_found,not_available,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
township,township,True,Active,MMR013038,MMR013D004,,,,Kyeemyindaing,ကြည့်မြင်တိုင်,,,5310,ကမာရွတ်ခရိုင်,no_legal_geometry_found,not_available,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
ward_village_tract,village_tract,True,Active,MMR001001001,MMR001001,,,,Alam,အာလမ်,,,6610,မြစ်ကြီးနားမြို့နယ်,no_legal_geometry_found,MIMU v9.7 workbook has names/PCodes/hierarchy but no ward/village-tract polygon geometry,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
ward_village_tract,village_tract,True,Active,MMR001001002,MMR001001,,,,Nawng Nang,နောင်နန်း,,,6610,မြစ်ကြီးနားမြို့နယ်,no_legal_geometry_found,MIMU v9.7 workbook has names/PCodes/hierarchy but no ward/village-tract polygon geometry,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
ward_village_tract,village_tract,True,Active,MMR001001003,MMR001001,,,,Pa La Na Sa Khan Myar,ပလနစခန်းများ,,,6610,မြစ်ကြီးနားမြို့နယ်,no_legal_geometry_found,MIMU v9.7 workbook has names/PCodes/hierarchy but no ward/village-tract polygon geometry,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
ward_village_tract,village_tract,True,Active,MMR001001004,MMR001001,,,,Nam Kyin,နန့်ကျင်,,,6610,မြစ်ကြီးနားမြို့နယ်,no_legal_geometry_found,MIMU v9.7 workbook has names/PCodes/hierarchy but no ward/village-tract polygon geometry,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
ward_village_tract,village_tract,True,Active,MMR001001005,MMR001001,,,,Nam Kwayt,နန်းကွေ့,,,6610,မြစ်ကြီးနားမြို့နယ်,no_legal_geometry_found,MIMU v9.7 workbook has names/PCodes/hierarchy but no ward/village-tract polygon geometry,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
ward_village_tract,village_tract,True,Active,MMR001001007,MMR001001,,,,Maw Hpawng,မော်ဖေါင်း,,,6610,မြစ်ကြီးနားမြို့နယ်,no_legal_geometry_found,MIMU v9.7 workbook has names/PCodes/hierarchy but no ward/village-tract polygon geometry,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
ward_village_tract,village_tract,True,Active,MMR001001008,MMR001001,,,,Sha Daung,ရှဒေါင်,,,6610,မြစ်ကြီးနားမြို့နယ်,no_legal_geometry_found,MIMU v9.7 workbook has names/PCodes/hierarchy but no ward/village-tract polygon geometry,none,blocked_missing_legal_geometry,100,No CoreMap or exact-PCode OSM polygon; MIMU geometry is unavailable at this level or restricted to comparison/QA,
