source_key,entity_type,survivor_core_id,duplicate_core_ids,preserve_survivor_geometry,hard_delete,dependency_counts_survivor,dependency_counts_duplicates,repoint_plan,recommended_decision,review_decision,review_note
ward:MMR005001701502:row434:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,6849,6853,true,false,names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=98|area_m2=494223|verification=unverified,6853:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=98|area_m2=494223|verification=unverified},UPDATE referencing tables SET admin_area_id/local_admin_area_id/parent_id FROM duplicate ids TO survivor; then soft-retire duplicates (is_active=false / deleted_at) — never hard DELETE. Preserve survivor geom.,merge_confirmed_duplicate,,
ward:MMR013018701526:row1133:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,5182,5183,true,false,names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=16|area_m2=786151|verification=unverified,5183:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=16|area_m2=786151|verification=unverified},UPDATE referencing tables SET admin_area_id/local_admin_area_id/parent_id FROM duplicate ids TO survivor; then soft-retire duplicates (is_active=false / deleted_at) — never hard DELETE. Preserve survivor geom.,merge_confirmed_duplicate,,
ward:MMR013018701525:row1134:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,5185,5186,true,false,names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=18|area_m2=885979|verification=unverified,5186:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=18|area_m2=885979|verification=unverified},UPDATE referencing tables SET admin_area_id/local_admin_area_id/parent_id FROM duplicate ids TO survivor; then soft-retire duplicates (is_active=false / deleted_at) — never hard DELETE. Preserve survivor geom.,merge_confirmed_duplicate,,
ward:MMR007008701505:row1421:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,5891,5897,true,false,names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=54|area_m2=305160|verification=unverified,5897:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=54|area_m2=305160|verification=unverified},UPDATE referencing tables SET admin_area_id/local_admin_area_id/parent_id FROM duplicate ids TO survivor; then soft-retire duplicates (is_active=false / deleted_at) — never hard DELETE. Preserve survivor geom.,merge_confirmed_duplicate,,
ward:MMR010018701504:row1546:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,6907,6908,true,false,names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=85|area_m2=308587|verification=unverified,6908:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=85|area_m2=308587|verification=unverified},UPDATE referencing tables SET admin_area_id/local_admin_area_id/parent_id FROM duplicate ids TO survivor; then soft-retire duplicates (is_active=false / deleted_at) — never hard DELETE. Preserve survivor geom.,merge_confirmed_duplicate,,
ward:MMR018002701510:row1565:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,6024,6011,true,false,names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=71|area_m2=3093206|verification=unverified,6011:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=22|area_m2=7375523|verification=unverified},UPDATE referencing tables SET admin_area_id/local_admin_area_id/parent_id FROM duplicate ids TO survivor; then soft-retire duplicates (is_active=false / deleted_at) — never hard DELETE. Preserve survivor geom.,merge_confirmed_duplicate,,
ward:MMR018002701508:row1572:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,6022,6012,true,false,names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=150|area_m2=8000480|verification=unverified,6012:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=40|area_m2=5082863|verification=unverified},UPDATE referencing tables SET admin_area_id/local_admin_area_id/parent_id FROM duplicate ids TO survivor; then soft-retire duplicates (is_active=false / deleted_at) — never hard DELETE. Preserve survivor geom.,merge_confirmed_duplicate,,
ward:MMR018002701509:row1574:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,6023,6025,true,false,names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=135|area_m2=1597997|verification=unverified,6025:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=30|area_m2=5021068|verification=unverified},UPDATE referencing tables SET admin_area_id/local_admin_area_id/parent_id FROM duplicate ids TO survivor; then soft-retire duplicates (is_active=false / deleted_at) — never hard DELETE. Preserve survivor geom.,merge_confirmed_duplicate,,
ward:MMR018002701507:row1575:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,6054,5117,true,false,names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=100|area_m2=1532360|verification=unverified,5117:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=26|area_m2=7004743|verification=unverified},UPDATE referencing tables SET admin_area_id/local_admin_area_id/parent_id FROM duplicate ids TO survivor; then soft-retire duplicates (is_active=false / deleted_at) — never hard DELETE. Preserve survivor geom.,merge_confirmed_duplicate,,
ward:MMR005011701503:row1589:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,6794,6797,true,false,names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=172|area_m2=1622179|verification=unverified,6797:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=134|area_m2=804806|verification=unverified},UPDATE referencing tables SET admin_area_id/local_admin_area_id/parent_id FROM duplicate ids TO survivor; then soft-retire duplicates (is_active=false / deleted_at) — never hard DELETE. Preserve survivor geom.,merge_confirmed_duplicate,,
