postal_code,status,region_mm,region_en,township_mm,township_en,locality_mm,locality_en,inferred_locality_type,matched_township_id,matched_local_admin_area_id,name_evidence,match_method,duplicate_extra_source_rows,source_row_count_en,source_row_count_my,reason,matched_township_public_id,v2_status,v2_reason,matched_local_admin_public_id
0102001,missing_local_admin_identity,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အမှတ် (၁) ရပ်ကွက်,No (1) Quarter,ward,6668,,no_exact_or_fuzzy,missing_local_after_rebind,0,1,1,"Township 6668 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text",,missing_local_admin_identity,township resolved; no exact inventory identity for locality,
0102002,missing_local_admin_identity,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အမှတ် (၂) ရပ်ကွက်,No (2) Quarter,ward,6668,,no_exact_or_fuzzy,missing_local_after_rebind,0,1,1,"Township 6668 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text",,missing_local_admin_identity,township resolved; no exact inventory identity for locality,
0102003,missing_local_admin_identity,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အမှတ် (၃) ရပ်ကွက်,No (3) Quarter,ward,6668,,no_exact_or_fuzzy,missing_local_after_rebind,0,1,1,"Township 6668 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text",,missing_local_admin_identity,township resolved; no exact inventory identity for locality,
0102004,missing_local_admin_identity,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အမှတ် (၄) ရပ်ကွက်,No (4) Quarter,ward,6668,,no_exact_or_fuzzy,missing_local_after_rebind,0,1,1,"Township 6668 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text",,missing_local_admin_identity,township resolved; no exact inventory identity for locality,
0102220,missing_local_admin_identity,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန် မြို့နယ်,Injangyang Township,အင်တျိန်ခရမ် ကျေးရွာအုပ်စု,In Trein Hka Yam Village Tract,village_tract,6668,,no_exact_or_fuzzy,missing_local_after_rebind,0,1,1,"Township 6668 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text",,missing_local_admin_identity,township resolved; no exact inventory identity for locality,
0103001,missing_local_admin_identity,ကချင်ပြည်နယ်,Kachin State,နောင်မွန်း မြို့နယ်,Nawngmun Township,အမှတ် (၁) ရပ်ကွက်,No (1) Quarter,ward,6681,,no_exact_or_fuzzy,missing_local_after_rebind,0,1,1,"Township 6681 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text",,missing_local_admin_identity,township resolved; no exact inventory identity for locality,
0103002,missing_local_admin_identity,ကချင်ပြည်နယ်,Kachin State,နောင်မွန်း မြို့နယ်,Nawngmun Township,အမှတ် (၂) ရပ်ကွက်,No (2) Quarter,ward,6681,,no_exact_or_fuzzy,missing_local_after_rebind,0,1,1,"Township 6681 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text",,missing_local_admin_identity,township resolved; no exact inventory identity for locality,
0103003,missing_local_admin_identity,ကချင်ပြည်နယ်,Kachin State,နောင်မွန်း မြို့နယ်,Nawngmun Township,အမှတ် (၃) ရပ်ကွက်,No (3) Quarter,ward,6681,,no_exact_or_fuzzy,missing_local_after_rebind,0,1,1,"Township 6681 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text",,missing_local_admin_identity,township resolved; no exact inventory identity for locality,
0103004,missing_local_admin_identity,ကချင်ပြည်နယ်,Kachin State,နောင်မွန်း မြို့နယ်,Nawngmun Township,အမှတ် (၄) ရပ်ကွက်,No (4) Quarter,ward,6681,,no_exact_or_fuzzy,missing_local_after_rebind,0,1,1,"Township 6681 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text",,missing_local_admin_identity,township resolved; no exact inventory identity for locality,
0103005,missing_local_admin_identity,ကချင်ပြည်နယ်,Kachin State,နောင်မွန်း မြို့နယ်,Nawngmun Township,အမှတ် (၅) ရပ်ကွက်,No (5) Quarter,ward,6681,,no_exact_or_fuzzy,missing_local_after_rebind,0,1,1,"Township 6681 resolved, but no exact approved ward/village-tract identity matched; will not invent admin from postal text",,missing_local_admin_identity,township resolved; no exact inventory identity for locality,
