postal_code,status,region_mm,region_en,township_mm,township_en,locality_mm,locality_en,inferred_locality_type,matched_township_id,matched_local_admin_area_id,name_evidence,match_method,duplicate_extra_source_rows,source_row_count_en,source_row_count_my,reason
0101200,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,အာလမ် ကျေးရွာအုပ်စု,Alam Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101201,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နောင်နန်း ကျေးရွာအုပ်စု,Nawng Nang Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101202,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ပလနစခန်းများ ကျေးရွာအုပ်စု,Pa La Na Sa Khan Myar Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101203,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နန့်ကျင် ကျေးရွာအုပ်စု,Nam Kyin Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101204,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နန်းကွေ့ ကျေးရွာအုပ်စု,Nam Kwayt Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101206,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မော်ဖေါင်း ကျေးရွာအုပ်စု,Maw Hpawng Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101207,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရှဒေါင် ကျေးရွာအုပ်စု,Sha Daung Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101208,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,လွယ်ခေါ ကျေးရွာအုပ်စု,Loi Hkaw Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101209,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တန်ဖဲ ကျေးရွာအုပ်စု,Tang Hpe Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101210,missing_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,အင်ဂျစ်ယန် ကျေးရွာအုပ်စု,In Jit Yang Village Tract,village_tract,6610,,exact_my+en,exact_pending_create,0,1,1,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
