postal_code,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,locality_type,township_admin_area_id,local_admin_area_id,match_status,match_method,review_reason
0201001,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Sha Ra Quarter,ရှရ ရပ်ကွက်,ward,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201002,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Myo Ma Quarter,မြို့မ ရပ်ကွက်,ward,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201003,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Raw Kaw Quarter,ရောကော ရပ်ကွက်,ward,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201200,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Pi Naung Sut Village Tract,ပီနောင်စွပ် ကျေးရွာအုပ်စု,village_tract,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201201,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Kye Tha Yauk (Sun Par) Village Tract,ကျဲသရောက် (စွန်ပါ) ကျေးရွာအုပ်စု,village_tract,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201202,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Tha Man Chaung Son Village Tract,သမန်းချောင်းစုံ ကျေးရွာအုပ်စု,village_tract,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201203,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Kyaing Raing Village Tract,ကြိုင်ရိုင် ကျေးရွာအုပ်စု,village_tract,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201204,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Yaung Ngway Village Tract,ယောင်ငွေး ကျေးရွာအုပ်စု,village_tract,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201205,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Har War Village Tract,ဟာဝါး ကျေးရွာအုပ်စု,village_tract,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201206,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Kha Let Leik Taw Village Tract,ခလပ်လိပ်တော် ကျေးရွာအုပ်စု,village_tract,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201207,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Shan Shein (Shar Yar) Village Tract,ရှန်ရှိန် (ရှာရာ) ကျေးရွာအုပ်စု,village_tract,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201208,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Lar Khu (1) Village Tract,လာခူး (၁) ကျေးရွာအုပ်စု,village_tract,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201209,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Shar Mee Village Tract,ရှားမီး ကျေးရွာအုပ်စု,village_tract,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201210,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,San Lun Village Tract,ဆန်လွန်း ကျေးရွာအုပ်စု,village_tract,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201211,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Lun Yan Village Tract,လွန်ရန် ကျေးရွာအုပ်စု,village_tract,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201212,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Ga Gaw Ka Bar Village Tract,ဂဂေါကမ္ဘာ ကျေးရွာအုပ်စု,village_tract,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201213,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Thar Man Village Tract,သာမန်း ကျေးရွာအုပ်စု,village_tract,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
0201214,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Lein Hnoke (1) Village Tract,လိန်းနှုတ် (၁) ကျေးရွာအုပ်စု,village_tract,,,unmatched,exact_township_name,Source township resolved but CoreMap township id not matched in admin pass
