postal_code,region_mm,region_en,township_mm,township_en,locality_mm,locality_en,candidate_admin_ids,candidate_names,candidate_types,name_evidence,recommended_action,review_decision,selected_local_admin_area_id,review_note
0101200,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,အာလမ် ကျေးရွာအုပ်စု,Alam Village Tract,,အာလမ် [Alam/အာလမ်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101201,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နောင်နန်း ကျေးရွာအုပ်စု,Nawng Nang Village Tract,,နောင်နန်း [Nawng Nang/နောင်နန်း],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101202,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ပလနစခန်းများ ကျေးရွာအုပ်စု,Pa La Na Sa Khan Myar Village Tract,,ပလနစခန်းများ [Pa La Na Sa Khan Myar/ပလနစခန်းများ],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101203,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နန့်ကျင် ကျေးရွာအုပ်စု,Nam Kyin Village Tract,,နန့်ကျင် [Nam Kyin/နန့်ကျင်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101204,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နန်းကွေ့ ကျေးရွာအုပ်စု,Nam Kwayt Village Tract,,နန်းကွေ့ [Nam Kwayt/နန်းကွေ့],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101206,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မော်ဖေါင်း ကျေးရွာအုပ်စု,Maw Hpawng Village Tract,,မော်ဖေါင်း [Maw Hpawng/မော်ဖေါင်း],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101207,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရှဒေါင် ကျေးရွာအုပ်စု,Sha Daung Village Tract,,ရှဒေါင် [Sha Daung/ရှဒေါင်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101208,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,လွယ်ခေါ ကျေးရွာအုပ်စု,Loi Hkaw Village Tract,,လွယ်ခေါ [Loi Hkaw/လွယ်ခေါ],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101209,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တန်ဖဲ ကျေးရွာအုပ်စု,Tang Hpe Village Tract,,တန်ဖဲ [Tang Hpe/တန်ဖဲ],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
0101210,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,အင်ဂျစ်ယန် ကျေးရွာအုပ်စု,In Jit Yang Village Tract,,အင်ဂျစ်ယန် [In Jit Yang/အင်ဂျစ်ယန်],village_tract,exact_pending_create,link_after_create_applied,,,"Exact name matches Phase-3 approved create_mimu_placeholder / create_new, but no local_admin_area_id exists yet — do not invent id from postal text"
