source_level,source_subtype,source_official,source_gad_status,mimu_pcode,parent_pcode,coremap_id,candidate_coremap_ids,current_name,target_name_en,target_name_my,current_parent_id,current_parent_name,target_parent_id,target_parent_name,match_method,geometry_overlap_evidence,proposed_geometry_source,proposed_action,confidence_score,review_reason,core_geom_md5_before
state_region,,True,Active,MMR001,,6667,6667,ကချင်ပြည်နယ်,Kachin,ကချင်ပြည်နယ်,11,မြန်မာ,11,မြန်မာ,exact_normalized_my_parent,source_in_core=%;core_in_source=%;source_point_in_core=t;core_point_in_source=t;distance_m=176.94,preserve_core,update_names,95,Identity and parent match; MIMU primary English/Myanmar names differ,f46f53541232a51083790de8160c4863
state_region,,True,Active,MMR002,,6007,6007,ကယားပြည်နယ်,Kayah,ကယားပြည်နယ်,11,မြန်မာ,11,မြန်မာ,exact_normalized_my_parent,source_in_core=%;core_in_source=%;source_point_in_core=t;core_point_in_source=t;distance_m=142.21,preserve_core,update_names,95,Identity and parent match; MIMU primary English/Myanmar names differ,df9c8a1c3f49f4f411fd98148b00a457
state_region,,True,Active,MMR003,,5879,5879,ကရင်ပြည်နယ်,Kayin,ကရင်ပြည်နယ်,11,မြန်မာ,11,မြန်မာ,exact_normalized_my_parent,source_in_core=%;core_in_source=%;source_point_in_core=t;core_point_in_source=t;distance_m=38.05,preserve_core,update_names,95,Identity and parent match; MIMU primary English/Myanmar names differ,fd8464e05672df330b6c5eeecdbab4e8
state_region,,True,Active,MMR004,,6744,6744,ချင်းပြည်နယ်,Chin,ချင်းပြည်နယ်,11,မြန်မာ,11,မြန်မာ,exact_normalized_my_parent,source_in_core=%;core_in_source=%;source_point_in_core=t;core_point_in_source=t;distance_m=136.47,preserve_core,update_names,95,Identity and parent match; MIMU primary English/Myanmar names differ,c5132a43d947542440e9b6920b740ac1
state_region,,True,Active,MMR005,,6703,6703,စစ်ကိုင်းတိုင်းဒေသကြီး,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,11,မြန်မာ,11,မြန်မာ,exact_normalized_my_parent,source_in_core=%;core_in_source=%;source_point_in_core=t;core_point_in_source=t;distance_m=379.25,preserve_core,update_names,95,Identity and parent match; MIMU primary English/Myanmar names differ,5861bc251b1db07c048721c0560136b3
state_region,,True,Active,MMR006,,7449,7449,တနင်္သာရီတိုင်း,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,11,မြန်မာ,11,မြန်မာ,exact_normalized_en_parent,source_in_core=%;core_in_source=%;source_point_in_core=t;core_point_in_source=f;distance_m=64592.57,preserve_core,update_names,95,Identity and parent match; MIMU primary English/Myanmar names differ,332e04e72db8c4687bf253007938880f
state_region,,False,N/A,MMR007,,,,,Bago (East),ပဲခူးတိုင်းဒေသကြီး (အရှေ့),,,11,မြန်မာ,,not_available,preserve_core,reference_only,80,MIMU GAD status=N/A; excluded from official target,
state_region,,False,N/A,MMR008,,,,,Bago (West),ပဲခူးတိုင်းဒေသကြီး (အနောက်),,,11,မြန်မာ,,not_available,preserve_core,reference_only,80,MIMU GAD status=N/A; excluded from official target,
state_region,,True,Active,MMR009,,7027,7027,မကွေးတိုင်းဒေသကြီး,Magway,မကွေးတိုင်းဒေသကြီး,11,မြန်မာ,11,မြန်မာ,exact_normalized_my_parent,source_in_core=%;core_in_source=%;source_point_in_core=t;core_point_in_source=t;distance_m=460.67,preserve_core,update_names,95,Identity and parent match; MIMU primary English/Myanmar names differ,26f11b2dd7713e45d9c59fe27914afc6
state_region,,True,Active,MMR010,,6832,6832,မန္တလေးတိုင်း,Mandalay,မန္တလေးတိုင်းဒေသကြီး,11,မြန်မာ,11,မြန်မာ,exact_normalized_en_parent,source_in_core=%;core_in_source=%;source_point_in_core=t;core_point_in_source=t;distance_m=0.00,preserve_core,update_names,95,Identity and parent match; MIMU primary English/Myanmar names differ,f141f4dfc8c654b822bb10e172040a45
